price_total,price_unit,area,ratio,age,Floor,Height,room
1747,25,69.88,58.04,16,15,15,4
1526.916,22.8,66.97,58.78,16,15,15,4
2147.887,25.9,82.93,58.04,17,14,15,4
1916.954,22.1,86.74,59.8,17,4,15,4
3520.127,29.9,117.73,56.79,12,5,15,2
2576.021,22.9,112.49,56.79,11,8,15,3
2249.584,18.4,122.26,56.79,8,4,15,3
1098.8,20,54.94,62.66,36,5,17,4
661.763,17.9,36.97,67.37,35,8,17,3
651.42,18,36.19,67.55,35,6,17,3
698.733,18.9,36.97,67.37,35,12,17,3
683.945,18.5,36.97,67.37,35,15,17,3
730.702,13.3,54.94,62.66,32,13,17,4
678.72,33.6,20.2,57.42,14,7,13,2
429.49,29,14.81,50.64,13,9,13,2
519.14,25.7,20.2,57.42,15,8,13,2
510.15,28.5,17.9,46.4,15,6,13,2
603.84,24,25.16,57.42,13,11,13,2
862.988,34.3,25.16,57.43,16,12,13,2
510.001,22.3,22.87,46.39,12,10,13,2
571.132,22.7,25.16,57.42,13,4,13,2
522.15,15,34.81,77.1,36,3,12,3
500.41,16.3,30.7,74.49,36,5,12,3
600.348,19.6,30.63,74.67,38,8,12,3
609,17.4,35,66.2,34,12,12,2
619.5,17.7,35,66.2,35,5,12,3
1202.456,28.4,42.34,61.14,12,3,13,3
1304.072,30.8,42.34,61.14,13,11,13,3
1100.84,26,42.34,61.14,12,4,13,3
978.054,23.1,42.34,61.14,11,4,13,3
896.288,29.6,30.28,56.18,12,9,13,2
843.909,32.1,26.29,56.18,13,11,13,2
680.911,25.9,26.29,56.18,11,13,13,2
910.788,21.3,42.76,60.16,10,3,13,3
1160.116,27.4,42.34,61.14,11,12,13,3
1030.516,24.1,42.76,60.16,11,4,13,3
798.994,21.7,36.82,72.9,39,3,14,3
1588.972,24.2,65.66,59.24,8,3,15,3
2208.776,29.8,74.12,58.97,10,14,15,4
365.778,12.6,29.03,88.02,38,9,12,3
421.29,15.1,27.9,86.21,38,11,12,3
1630.525,37.7,43.25,57.74,9,9,24,3
2996.39,29.8,100.55,57.22,7,21,24,3
3075.217,31.7,97.01,57.22,7,23,24,3
2903.94,29.2,99.45,57.23,7,24,24,3
3142.62,31.6,99.45,57.23,6,24,24,3
3031.632,33.3,91.04,59.49,9,10,24,4
1518.075,35.1,43.25,57.74,10,8,24,2
1401.3,32.4,43.25,57.74,8,6,24,3
2461.374,34.2,71.97,57.17,9,13,24,4
1353.725,31.3,43.25,57.74,7,12,24,3
2547.738,35.4,71.97,57.17,10,18,24,4
1500.775,34.7,43.25,57.74,9,10,24,3
1319.125,30.5,43.25,57.74,9,4,24,3
1610.631,31.9,50.49,55.54,9,3,24,3
